text,depressed
"@AdamPage85 Our daughter said to us recently, “Thank you for raising me a #Christian, going through this as an adult would have been way harder...” I am so proud of her. She went from concerns for her #depression to being so filled with joy she reminds us to #pray all the time.",1
2 out of 3 people who struggle with #depression do not get help. Do t be one of them. @TWLOHA thank you for all you do. Just got the two shirts I ordered today. I’m proud to support your organization,1
I don't know how much longer I can endure this. Everything's getting too much  #Sad #depression #anxiety,1
I think it's mighty funny how erebody want to all of a sudden be publicly depressed and anxious as soon my Dr convinces me that I have #depression and #anxiety. I feel a HIPPA violation has occurred somewhere.  https://t.co/ohydjujefL,1
Me all day and all night  #depression  https://t.co/1hc21UX5ue,1
"moody, please forgive me, I can’t even handle myself.  Depression comes in different forms, and this one is mine. #WomensHealthMatters #WomensHealth #depression #MenstrualHealthDay #MentalHealthMonth #menstruation #bodydysmorphia #Always #awareness #women #Health #stress  https://t.co/hyLMGqWbME",1
"#BookBoost #booklovers #books #psychological #depression your not alone, schizo. I'm him too. Be aware you're not just part of it. But when you're alone, you're the only tree in the forest. We all know. No I wasn't told. But now so much more aware.  https://t.co/oxv6BNpxtn this.",1
"So I’ll hold my breath Stuck in the in between. &amp; every day I’ll look out for your shine, Remembering the times you were mine.  - Erin, I can’t escape all that I am, not even the darkest parts  (4/4)  #poetry #poem #poet #lovepoem #sadpoetry #depression #writers #WritingCommunity",1
"I know this shouldn’t be a big deal… but for someone with #CerebralPalsy who never thought would, it’s been 12 years since I moved to of home. Now look at me! Living on my own in a apartment in the valley with a dog! #depression #anxiety #valleychick  #destroyinglimits #Leto",1
"My daughter releases Oxytocin, and I release Cortisol. Who is the looser here? I guess both, as she isn't having what she needs, and I am unable to give her the happiness. My daughter is my puppy. She deserves all the happiness. #stress #depression #depressed #Mentalhealth  https://t.co/ebsDac5Yi8",1
I think I’m going to set up a “positive folder” for myself thanks to this! (: It will also be great to have during #depression and #chronicpain flare ups as a part of my ever-growing #mentalhealth tool kit.  #MentalHealthAwarenessMonth #AcademicMentalHealth,1
@WarriorZoltar If my #depression has taught me anything... everything happens for a reason... our job is to figure that out and also remember the tides change just as fast as they come in!,1
🎶 I like to look at all the lights in your shoes 🎶 Has your panic organ been removed?🎶  #acousticguitar #acousticmusic #songwriting #Singing #depression  https://t.co/6JhfhXNYHd,1
"I will never rain 365 days consecutively. Keep in mind that trouble comes to pass, not to stay. Don’t worry!   #suicideprevention #mentalhealth #mentalhealthawareness #depression #mentalhealthmatters #anxiety #suicide #suicideawarness #mentalillness #ptsd #selfcare #love  https://t.co/JwnmtmVaRO",1
