text,depressed
2 out of 3 people who struggle with #depression do not get help. Do t be one of them. @TWLOHA thank you for all you do. Just got the two shirts I ordered today. I’m proud to support your organization,1
I don't know how much longer I can endure this. Everything's getting too much  #Sad #depression #anxiety,1
I think it's mighty funny how erebody want to all of a sudden be publicly depressed and anxious as soon my Dr convinces me that I have #depression and #anxiety. I feel a HIPPA violation has occurred somewhere.  https://t.co/ohydjujefL,1
"moody, please forgive me, I can’t even handle myself.  Depression comes in different forms, and this one is mine. #WomensHealthMatters #WomensHealth #depression #MenstrualHealthDay #MentalHealthMonth #menstruation #bodydysmorphia #Always #awareness #women #Health #stress  https://t.co/hyLMGqWbME",1
"#BookBoost #booklovers #books #psychological #depression your not alone, schizo. I'm him too. Be aware you're not just part of it. But when you're alone, you're the only tree in the forest. We all know. No I wasn't told. But now so much more aware.  https://t.co/oxv6BNpxtn this.",1
"I know this shouldn’t be a big deal… but for someone with #CerebralPalsy who never thought would, it’s been 12 years since I moved to of home. Now look at me! Living on my own in a apartment in the valley with a dog! #depression #anxiety #valleychick  #destroyinglimits #Leto",1
"I will never rain 365 days consecutively. Keep in mind that trouble comes to pass, not to stay. Don’t worry!   #suicideprevention #mentalhealth #mentalhealthawareness #depression #mentalhealthmatters #anxiety #suicide #suicideawarness #mentalillness #ptsd #selfcare #love  https://t.co/JwnmtmVaRO",1
"I will never speak to anyone as much as speak to myself in my head, so I try to be kind to myself. #mentalhealth #MentalHealthMatters #MentalHealthAwareness #bipolar #bipolardisorder #CPTSD #PTSD #depression #Anxiety #stress #BPD #borderline #autism #autistic #ASD #trauma",1
"Yeah, I have managed a full week at work, spoken to friends with a renewed energy, formulated a plan moving forward and most importantly I’ve had a shower and changed my socks!!   I appear to be ok. 💜🙏✊#depression #recovery",1
I wish I had someone to talk to. This is the worse feeling ever. #depression,1
The Loneliness that Depression causes can be so hard. I tried a few old friends but they want nothing to do with me. I'm not ready yet to join a group but hopefully I will. I feel that I'm  just not good enough anymore  #depression #mentalhealth #MentalHealthAwarenessMonth 😭😭,1
"I feel like to survive and thrive in modern life, you need to be able think strategically about how you interact with people, essentially managing everyone around you. But I have never been able to do this. And I suffer for it. #Mentalhealth #anxiety #depression",1
I  think I'm just a bother to everyone. I'll kill myself . #depression @Imheret45140132,1
I feel dejected by being rejected every time. I'm not sure why is this happening to me so often. I feel tired and helpless. Hope whover is going through hard time are forgiven and looked after. #MentalHealthAwareness #MentalHealthMonth #Anxiety #depression #cry #sad #heartbroken,1
"You guys ever have a day when your depression and other MH stuff decides ""...f**k you. I dunno why, but f**k you."" and you're just sorta left wandering aimlessly through the day, depressed but not like energy-less depressed?   These days are weird...   #health #depression #mood",1
"""If I asked you, would you hug me, tell me you'd never give up on me, and love me when I don't love myself? Because that's the kinda therapy I need right now.""🌼  #Wisdom #LifeLessons #InspirationalQuotes #MotivationalQuotes #MentalHealth #Depression #Anxiety #Love #Life #Truth  https://t.co/oa9umUc8eO",1
"I know it might not sound like much, but I got through the whole of this half of term without needing to take any time off sick and I’m super proud of myself 😊 #depression",1
I never win in any games... But i'm brilliant in one: 𝙸𝙵 𝚞 𝚔𝚗𝚘𝚠 𝚊𝚕𝚕 𝚝𝚑𝚎 𝚜𝚘𝚗𝚐𝚜 𝚞 𝚗𝚎𝚎𝚍 𝚊 𝚑𝚞𝚐.🖤  #depression  #sad,1
It’s not something I ever wanted to do.  It’s not any less discomforting when the voices in your head reject you.  #ADHD #motivation #MotivationalQuotes #Trending #TrendingNow #fridaymorning #FridayFeeling #FridayLivestream #FridayFitness #FridayThoughts #FridayVibe #depression,1
I keep struggling to find My way back home To the one that I used to be Trying to find a purpose in life Nothing feels right Everything inside Has turned to dust All that I am Feels nothing but hollow #BorderlinePersonalityDisorder #mentalhealth #depression #anxiety #writing,1
#Depression...i like being a doctor...but i see that psychiatry may not be treating real 100% medical diseases...like treating most depressions with drugs that don't seem to be doing the job...we are throwing drugs at everything...,1
#Depression...med school went good...internship went good...psychiatry went bad ....for me.....it was all about drugs...talk less and give more drugs...i even used those drugs for my own problems with depression...woe is me,1
I  hate everyone here. I'll kill myself . #depression @Imheret45140132,1
"the real struggle is when you have to be prentitous about everything cause you dont want others to know you have depression, anxiety, bpd, adhd and shit so you just move grining wide through out the day cause heck I live in a joint family. there is no privacy. #ADHD #depression",1
It’s that time of year again. I have Constant very bad panic attacks! All spring/summer long I hate living in this house. It’s gonna kill me. I can’t bring myself to do much of anything most days and the pandemic didn’t help much ether in fact it made it worse #ptsd #depression,1
"mum asked me ‘you achieve so much, so why do you have #depression and all this other rubbish?’  couldn’t explain it’s cos I might have a “dream job / apartment / relationships”  but my memory is bad, so it rarely feels like my dream, and often it feels like one I can’t escape :(",1
Ever since I moved out my parents house I developed #trustissues #depression #insecurities and #angerissues I've always felt like im not good enough for anybody  https://t.co/OZs8j9vBmw,1
"I admit that a part of me fantasizes about the epic suicide letter that I would leave. Definitely would name and shame all the toxic fuckers in my life: this client, an old boss, bitchy ppl from hs .... gonna put my death squarely on their doorsteps. #depression #Mentalhealth",1
"After three weeks of relative emotional calm, had a big old cry tonight. All the negative feelings came rushing back: worthlessness, despair, hopelessness, etc. I honestly think this one client is going to lead to my death. #anxiety #depression #burnout #Mentalhealth",1
💜Wash hair 🧡Wash face- I don't seem to get it done every day. I do wipe it down with a wet cloth before bed. Of course I use my shampoo bar &amp; soap bar from  https://t.co/g4aeZVu9QO  Still no blackheads anywhere on my face! #selfcare #acne #depression #beauty,1
"“People often don’t want the dark, heavy truth. I can’t airbrush my mental illness and, truth be told, I often don’t know what to do with my reality either. All I have to offer though is my lived experience.”  #MentalHealthMonth #mentalhealth #depression    https://t.co/saKm4gpNhl",1
I never forgot the old lady who gave me change to buy a train ticket 30 yrs ago. These little acts of kindness can restore someone's faith in humanity.  So please be kind.  #mentalhealth #support #depression #anxiety #stress #socialanxiety #anxietyattack #MentalHealthMatters  https://t.co/NS2SEcEfYy,1
"I will never rain 365 days consecutively. Keep in mind that trouble comes to pass, not to stay. Don’t worry!   #suicideprevention #mentalhealth #mentalhealthawareness #depression #mentalhealthmatters #anxiety #suicide #suicideawarness #mentalillness #ptsd #selfcare #love  https://t.co/JwnmtmVaRO",1
"@RealTristan13 grow up before one of these parents with a child that fell to #suicide or victim of homicide start following around #rap artists and #athletes for the shit y'all teach these kids who ain't got shit 💯   I just spit in you, come find my sleeping bag",1
"""I am constantly torn between killing myself and killing everyone around me."" - David Levithan   #davidlevithan #homicide #suicide #quote #quoteoftheday",1
Mum. Where do I even start your my mother and I love you so much wish #suicide wasn't a thing. Your loved and missed and always remembered♥️. Fly high Mummy❤️  https://t.co/s3purOdQZp,1
"❤️ Recording Season 2 tonight with the Sam Readding , Scott Martins Mum. The woman is bravest person I think I’ve ever met. What an inspiration to set up a Foundation so soon after Scott taking his own life to try and spread the message that SUICIDE is not the answer ❤️  #suicide",1
"2. Kids are unpredictable &amp; when things are bad, they every drop I have to give. 3. #remotelearning and #hybridlearning have been difficult for older kids, too. Mine needed constant supervision and lots of transportation 4. Academic loss is fixable. #Suicide is not. 4/",1
"To my baby brother who lost his life to #suicide while serving in the US Army, I miss you and every day wish we would have had time together to be adults together. #mentalhealthawareness #family #love  https://t.co/X7nlOTdtms",1
me When mom iz force Feeding me 3000 Calz every Day #suicide,1
@traependergrast @xandvt It’s awful isn’t it. What’s worse is Doctors never receive training for the diseases I have so med degrees 🤷‍♀️Another #suicide 23yr old in the paper today. CPD courses here and zoom conference in June  https://t.co/mE9tQNgrjF  https://t.co/GSu4SKAUBS  https://t.co/aIPi9ta8Aq,1
"#suicide is never the answer. Ask for #help : Need help with #depression ? Reach out to me, I beat mine!  https://t.co/9NuGmDzoPG",1
What do you do when you are 100% honest and everyone calls you a liar? Do you get as furiously frustrated as I do? SO MANY PEOPLE NEED their heads SLAPPED on concrete. I FUCKING HATE PEOPLE. #ifuckinghatepeople #scumciety #suicide,1
I wish I would never hear those words again... #suicide #americansociety #whysomuchpain #stopsuicide #lifeisbeautiful  https://t.co/wiobOgHXiF,1
"I apologize for bieng inactive, i was in the hospital after overdosing, i hope your all doing well! #9thgaming #MentalHealthMatters #SuicidePrevention #SocialMedia #MentalHealthMonth #Mentalhealth #selfharm #suicide",1
I'm always sad. I'm hoping I'm off this planet soon. I really fucking hate being alive. #depression #suicide,1
David Balfe: ‘It was devastating. I think of Paul all the time. This album is all about him’  https://t.co/krC9L1oP2W #trauma  #love #friendship #music #SpokenWord #community #deprivation #socialjustice #policing #suicide,1
"But he can’t win. I’m stronger now than I ever was. I was at the lowest of the lows, and still didn’t let him win.  #sobriety #suicide #negativethoughts #Death",1
"If #suicide ever crosses your mind, just know that I would rather listen to your story than attend your funeral. #depression  https://t.co/9ikF463wJx",1
"This is so heartbreaking! I think schools, parents, and communities, need to talk to all children early about ways to deal with pain. #Suicide is more pervasive among children than ever. 💔",1
#MentalHealthMatters #mentalhealth  Express yourself and don't keep anything in... let it all out... I don't keep anything I need in a bottle... why should you bottle up your emotions... #depression #Suicide #SuicideAwareness if you need help ask... 1-800-273-8255  https://t.co/dySoeJByZr,1
I've always felt that I would become a part of the #22aday. I just never knew when.   #help #suicide #goodbye #Veterans  #usmc,1
"When folks get to the point of mocking a #suicide cause they didn't like a movie, they've clearly lost all reason, decency, logic &amp;respect for #Mentalhealth .   All this cause people can't be normal about their dislike of a movie. I'm not even a Snyder fan and I disgusted.  https://t.co/dfedxdnRDf",1
@LisaThompsonMPP I challenge you in Question Period this week to also brag how #Tarion has the best warranty in the world &amp; truly cares! You can't &amp; won't because you've always known the complete opposite is true &amp; yet you refuse to even do Oversight on them. WHY? SHAME ON YOU   #onpoli #Suicide  https://t.co/GSX1wa4zPJ,1
Highly recommend everyone to watch “The Me You Can’t See” on @AppleTV  this should be made mandatory watching for all citizens. Normalize talking about #MentalHealthAwarenessMonth #DepressionIsReal #anxiety #OCD #suicide all of these hashtags plus more,1
I saw the sun and smiled... not EVERYONE feels that. #Mental illness is real + kills on the inside. Life brings enough anxiety as it is; the people with whom you are choosing to surround yourself should not be part of it. Invest in people who make you feel #home.  https://t.co/lE5SxXrN6y,1
#Japan #国会中継 #Live  あるあるです。  #建設業 アルバイトの私が社員を教育、 当該若者が #雇用契約 問題で #精神疾患。  Always.  I am a part-time worker in the construction industry and educate employees The young man has a #mental #illness due to an #employment #contract #problem.,1
"All my family members suffered from #mental illness. They were shocked &amp; scared but nobody cried when #police raided my #home. My mother, who is physically handicapped, growled &amp; asked, “What is Hong Kong becoming of?” before I entered the elevator.",1
"While working patrol 🔵⚫️ in the Downtown Net Area,I encountered a male suffering from schizophrenia 🟢. I provided him with clean clothes and something to eat. #WE MUST TAKE CARE OF EACH OTHER #MENTAL ILLNESS IMPACTS EVERYONE #MPD CARES # IMPACTING OUR MENTALLY ILL 1 ENCTR @ A X  https://t.co/RN7iVdU4Pp",1
@elle_gillieslaw (2/2) His #violent past alludes to this being the case. It's possible that he had some sort of #mental illness but I believe he intended to harm someone today but he had nothing to lose and would rather have died trying than be arrested to face the #law.,1
I was thinking how can you win if you never give yaself a chance!! #Mental #Illness,1
"@OntarioShores I totally agree, when my son was suffering with #mental illness, the hospitals and staff treated him like he didn't exist!  Just another annoyance, that they had to deal with.  #sad and #depressing for all of us, the #psychiatric ward was just a revolving door with zero empathy.",1
"#Instagram is REALLY going down the 🚽.I already get pissed because THEY decide what posts I see on my own timeline,Now they get to decide what I post? All I said was ""#Mental #illness is real"" and got a warning that it may be against guidelines. #WTF",1
@catzuichi I thought u were mad at me all day bc of that #mental illness,1
